Test Start
Normal test...
994365434 2190 0
993620204 2189 0
993540507 2188 0
993425143 2187 0
992900513 2186 0
992579113 2185 0
992559230 2184 0
992538505 2183 0
992477623 2182 0
991842087 2181 0
998929008 2100 0
998892631 2099 0
998417491 2098 0
997943448 2097 0
997794088 2096 0
997737909 2095 0
997348902 2094 0
996520774 2093 0
995870736 2092 0
994365434 2091 0
999902949 2190 0
993620204 2189 0
993540507 2188 0
992579113 2187 0
992538505 2186 0
992477623 2185 0
991842087 2184 0
991701814 2183 0
991586331 2182 0
991310511 2181 0
998929008 2100 0
998892631 2099 0
998417491 2098 0
997943448 2097 0
997794088 2096 0
997737909 2095 0
997348902 2094 0
996520774 2093 0
995870736 2092 0
994365434 2091 0
994553424 2190 0
993620204 2189 0
993540507 2188 0
992579113 2187 0
992538505 2186 0
992477623 2185 0
991842087 2184 0
991701814 2183 0
991586331 2182 0
991310511 2181 0
998929008 2100 0
998892631 2099 0
998417491 2098 0
997943448 2097 0
997794088 2096 0
997737909 2095 0
997527769 2094 0
997348902 2093 0
996520774 2092 0
995870736 2091 0
998764387 2190 0
997519331 2189 0
996640160 2188 0
994365434 2187 0
993620204 2186 0
993540507 2185 0
992579113 2184 0
992538505 2183 0
992477623 2182 0
991842087 2181 0
Advanced test...998494804 100 0
998494804 200 0
998494804 300 0
998494804 400 0
999259797 500 0
999259797 600 0
999259797 700 0
999597640 800 0
999597640 900 0
999597640 1000 0
999597640 1100 0
999597640 1200 0
999597640 1300 0
999597640 1400 0
999597640 1500 0
999597640 1600 0
999979960 1700 0
999979960 1800 0
999979960 1900 0
999979960 2000 0
980013016 100 0
989330455 200 0
993250383 300 0
993250383 400 0
993250383 500 0
997353629 600 0
997353629 700 0
998371001 800 0
998371001 900 0
998371001 1000 0
998371001 1100 0
998371001 1200 0
998371001 1300 0
998371001 1400 0
998390895 1500 0
998390895 1600 0
998390895 1700 0
998390895 1800 0
998390895 1900 0
998390895 2000 0
Advanced copy&= test...998982356 2100 0
998758576 2099 0
997716203 2098 0
997526203 2097 0
997288253 2096 0
997156193 2095 0
996221304 2094 0
996050610 2093 0
995719600 2092 0
995018448 2091 0
999901128 2190 0
994781744 2189 0
994370972 2188 0
994274784 2187 0
993750945 2186 0
993691118 2185 0
993252810 2184 0
993066399 2183 0
992989829 2182 0
991827236 2181 0
999880213 2100 0
998982356 2099 0
998758576 2098 0
998102046 2097 0
997716203 2096 0
997288253 2095 0
997156193 2094 0
996221304 2093 0
996050610 2092 0
995719600 2091 0
997480983 2190 0
995018448 2189 0
994781744 2188 0
994370972 2187 0
994274784 2186 0
993750945 2185 0
993691118 2184 0
993252810 2183 0
993066399 2182 0
992989829 2181 0
999852383 2100 0
998982356 2099 0
998758576 2098 0
997975544 2097 0
997716203 2096 0
997288253 2095 0
997156193 2094 0
996221304 2093 0
996050610 2092 0
995719600 2091 0
998177521 2190 0
995018448 2189 0
994781744 2188 0
994703644 2187 0
994370972 2186 0
994274784 2185 0
993750945 2184 0
993691118 2183 0
993252810 2182 0
993066399 2181 0
998982356 2100 0
998758576 2099 0
997716203 2098 0
997288253 2097 0
997156193 2096 0
996221304 2095 0
996050610 2094 0
995719600 2093 0
995018448 2092 0
994781744 2091 0
999276597 2190 0
994370972 2189 0
994274784 2188 0
993750945 2187 0
993691118 2186 0
993252810 2185 0
993066399 2184 0
992989829 2183 0
991827236 2182 0
991056069 2181 0
998982356 2100 0
998758576 2099 0
997716203 2098 0
997288253 2097 0
997156193 2096 0
996221304 2095 0
996050610 2094 0
995719600 2093 0
995018448 2092 0
994781744 2091 0
994691086 2190 0
994370972 2189 0
994274784 2188 0
993750945 2187 0
993691118 2186 0
993252810 2185 0
993066399 2184 0
992989829 2183 0
991827236 2182 0
991056069 2181 0
999981689 2100 0
999926240 2099 0
999136949 2098 0
998310732 2097 0
998222616 2096 0
996784238 2095 0
996513735 2094 0
996324343 2093 0
996046886 2092 0
995959209 2091 0
999586063 2190 0
996721585 2189 0
995827780 2188 0
995800233 2187 0
995788874 2186 0
995611089 2185 0
994749983 2184 0
994724323 2183 0
993979643 2182 0
993882385 2181 0
999981689 2100 0
999926240 2099 0
999136949 2098 0
998310732 2097 0
998222616 2096 0
996784238 2095 0
996513735 2094 0
996498630 2093 0
996324343 2092 0
996046886 2091 0
995959209 2190 0
995827780 2189 0
995800233 2188 0
995788874 2187 0
994754883 2186 0
994749983 2185 0
994724323 2184 0
993979643 2183 0
993882385 2182 0
992805200 2181 0
999981689 2100 0
999926240 2099 0
999136949 2098 0
998310732 2097 0
998222616 2096 0
996784238 2095 0
996513735 2094 0
996478182 2093 0
996324343 2092 0
996046886 2091 0
995959209 2190 0
995827780 2189 0
995800233 2188 0
995788874 2187 0
994749983 2186 0
994724323 2185 0
993979643 2184 0
993882385 2183 0
992805200 2182 0
992747081 2181 0
999981689 2100 0
999926240 2099 0
999136949 2098 0
998310732 2097 0
998222616 2096 0
996784238 2095 0
996513735 2094 0
996324343 2093 0
996046886 2092 0
995959209 2091 0
995827780 2190 0
995800233 2189 0
995788874 2188 0
994749983 2187 0
994724323 2186 0
993979643 2185 0
993882385 2184 0
992805200 2183 0
992747081 2182 0
990854278 2181 0
999981689 2100 0
999926240 2099 0
999136949 2098 0
998310732 2097 0
998240485 2096 0
998222616 2095 0
996784238 2094 0
996513735 2093 0
996324343 2092 0
996046886 2091 0
995959209 2190 0
995827780 2189 0
995800233 2188 0
995788874 2187 0
994749983 2186 0
994724323 2185 0
993979643 2184 0
993882385 2183 0
992805200 2182 0
992747081 2181 0
Exception test...Accept
